"species","5A","5B","5C","10A","10B","10C","20A","20B","20C","25A","25B","25C","27A","27B","27C","31A","31B","31C","44A","44B","44C","46A","46B","46C","55A","55B","55C","66A","66B","66C","sd5C","sd10C","sd20C","sd25C","sd27C","sd44C","sd55C"
"Globigerina_bulloides",0.550314465408805,0,0.4695779585,0.214689265536723,0,0.311346005,0.046594982078853,0,0.0657431346774194,0.0150943396226415,0,0.0147104538,0.00531914893617021,0,0.0182145632727273,0.01,0,0.005030181,0.0262295081967213,0.0154639175257732,0.03115743325,0.0845921450151057,0,0.041984733,0.0230769230769231,0,0.0159516928333333,0,0,0,0.135424589126379,0.00666967299067067,0.0215746050609722,0.0103506441894927,0.00756987087965425,0.0138572783231347,0.024454268807778
"Globigerina_falconensis",0,0,0.02554634025,0.0225988700564972,0,0.008287293,0.039426523297491,0,0.0185712799677419,0.0641509433962264,0.0260115606936416,0.0418052302,0.00531914893617021,0,0.0122215109090909,0.02,0,0.007042254,0,0,0.00214442825,0.0362537764350453,0,0.008178844,0,0,0.0277614933333333,0,0,0,0.0210323338492321,0.0117200021559596,0.0125594640569019,0.0439887795893249,0.00926862278830509,0.00248502016477377,0.0392457227152607
"Globoturborotalita_rubescens",0,0,0,0,0,0,0,0,0.0139836304193548,0.0113207547169811,0.0144508670520231,0.0176429758,0.00531914893617021,0.064327485380117,0.00363667772727273,0.0133333333333333,0.0342205323193916,0.038229376,0.0131147540983607,0,0,0.0120845921450151,0.0484848484848485,0.022900763,0,0,0.000665669666666667,0,0,0,0,0,0.00856376097729443,0.01951067457728,0.00522634378631946,0,0.00103125274822454
"Globigerinoides_tenellus",0,0,0,0,0,0,0,0.00319488817891374,0.0306021769677419,0.0754716981132075,0.0202312138728324,0.0312469096,0.023936170212766,0.0584795321637427,0.00781696881818182,0.0633333333333333,0.0798479087452472,0.040241449,0,0,0.00166944025,0.0181268882175227,0,0.014176663,0,0,0.006991691,0,0,0,0,0,0.0156397074830396,0.0234585442212023,0.00787177234203009,0.00200911819034228,0.0104034653068279
"Globorotalia_menardii",0,0,0,0,0,0,0.132616487455197,0.210862619808307,0.0954515102580645,0,0.0953757225433526,0.0164533262,0.00265957446808511,0.0760233918128655,0.008174387,0,0.091254752851711,0,0.0983606557377049,0.0979381443298969,0.19914862125,0.00302114803625378,0.109090909090909,0.022355507,0.0884615384615385,0.753846153846154,0.0459623411666667,0,0,0,0,0,0.0524367121756874,0.0110069134757719,0.0173293431022557,0.106744643916731,0.0471705233800859
"Globorotalia_tumida",0,0,0,0,0,0,0,0,0.00117862661290323,0.00754716981132075,0.023121387283237,0.0015575758,0,0.0526315789473684,0.008174387,0,0.0456273764258555,0,0.0491803278688525,0.0567010309278351,0.074625396,0.00604229607250755,0.0545454545454545,0.015812432,0.0269230769230769,0,0.0107488646666667,0,0,0,0,0,0.00244041682188651,0.00213411664717002,0.00523679954977463,0.0611437121798249,0.0166732175061143
"Globoconella_inflata",0.30188679245283,0,0.1613769035,0.327683615819209,0.931034482758621,0.212055936,0.03584229390681,0.0479233226837061,0.100983631935484,0.116981132075472,0.0260115606936416,0.0763065418,0.00531914893617021,0,0.0273773817272727,0,0,0,0,0,0,0,0,0,0.134615384615385,0,0.1064932585,0,0,0,0.0608650775576338,0.0225190019720645,0.105958677274785,0.0403806721913823,0.0323490129170479,0,0.0474781635798786
"Globorotalia_crassaformis",0,0,0,0,0,0.0013812155,0.00716845878136201,0,0.00266548174193548,0.00754716981132075,0,0.003848045,0.00265957446808511,0.00584795321637427,0.00140145290909091,0,0,0,0,0.0103092783505155,0.01233646475,0,0,0.00436205,0.0192307692307692,0.0923076923076923,0.00974451116666667,0,0,0,0,0.00195333369265994,0.00562589892334006,0.00134933689155748,0.00231034911101567,0.0125726927507039,0.00563012143914614
"Globorotalia_truncatulinoides",0.0440251572327044,1,0.037670815,0.0564971751412429,0.0689655172413793,0.0053531045,0.021505376344086,0.0990415335463259,0.0229793142903226,0.0452830188679245,0.0115606936416185,0.0590432792,0.00797872340425532,0.0467836257309941,0.0271948010909091,0,0.00760456273764259,0.002012072,0.00327868852459016,0.0103092783505155,0.002105356,0,0,0.004907306,0.0384615384615385,0,0.0918970691666667,0,0,0,0.0185006309657579,0.000242901785939297,0.0138506829500172,0.0102324027824439,0.0169209344832822,0.00244637155116457,0.0574313920633582
"Globorotalia_hirsuta",0,0,0,0,0,0,0,0,0.00469912135483871,0.00377358490566038,0,0.0027280796,0,0,0.00341745054545455,0,0,0,0,0,0.00113636375,0,0,0.001090513,0,0,0.00505999416666667,0,0,0,0,0,0.00463486524215997,0.00268440681910563,0.00309336483852369,0.0022727275,0.00378603752471559
"Globorotalia_scitula",0,0,0.00079617825,0,0,0,0,0.0575079872204473,0.00198901338709677,0.00754716981132075,0,0.0107933258,0.00265957446808511,0,0.00439404327272727,0,0,0,0.0163934426229508,0.0206185567010309,0.001984127,0,0,0.002181025,0,0,0.000333000333333333,0,0,0,0.0015923565,0,0.00323383222735772,0.00717113209084753,0.00461974495604762,0.003968254,0.000815680900843379
"Globorotalia_ungulata",0,0,NA,0,0,NA,0.010752688172043,0,0,0.00754716981132075,0,NA,0.00531914893617021,0,NA,0,0,0,0.0131147540983607,0,NA,0,0,NA,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA
"Globorotaloides_hexagonus",0,0,0,0,0,0,0,0.00319488817891374,0.000107526870967742,0,0,0,0.00265957446808511,0,0.0015626212,0,0,0.003018109,0,0.0515463917525773,0.011622077,0,0,0.001090513,0,0,0,0,0,0,0,0,0.000598684280220816,0,0.00230382808904744,0.0162154130064014,0
"Neogloboquadrina_dutertrei",0,0,0.0022667665,0,0,0.002762431,0.121863799283154,0.073482428115016,0.123290977516129,0.00377358490566038,0.0115606936416185,0.001277541,0.0292553191489362,0.0409356725146199,0.0267887084,0.0133333333333333,0.0722433460076046,0.001006036,0.0688524590163934,0.11340206185567,0.2442756455,0.027190332326284,0.0787878787878788,0.047437296,0.0269230769230769,0,0.0202143875,0,0,0,0.00283969201656852,0.00390666738531987,0.069228464580701,0.00118799397779113,0.0149596727270119,0.116536131898641,0.0206556847024429
"Neogloboquadrina_incompta",0.0251572327044025,0,0.05729699825,0.214689265536723,0,0.0066484415,0.014336917562724,0,0.0108759880967742,0.00377358490566038,0,0.0047759508,0,0,0.001184041,0,0,0,0.108196721311475,0,0.024891581,0.0302114803625378,0,0.002726281,0.126923076923077,0,0.052658371,0,0,0.004,0.0691857204241443,0.00158898136730438,0.00899914292288365,0.00620168266388915,0.00251320774800505,0.0336809514426656,0.0349663707909064
"Neogloboquadrina_pachyderma",0.059748427672956,0,0.1750875425,0.096045197740113,0,0.427990725,0,0,0,0,0,0.0004987532,0,0.0116959064327485,0.000247708727272727,0,0,0,0,0.0309278350515464,0,0,0,0.000545256,0,0,0.00182153533333333,1,1,0.993,0.187686681032809,0.00807647748819051,0,0.00111524605919555,0.000821556905660112,0,0.00203209259517284
"Globigerinella_siphonifera",0,0,0,0,0,0,0.017921146953405,0.0319488817891374,0.0380383477419355,0.0150943396226415,0.0317919075144509,0.0459622942,0.0771276595744681,0.0584795321637427,0.0526562640909091,0.0333333333333333,0.0760456273764259,0.04527163,0.0524590163934426,0.0567010309278351,0.02844085625,0.0422960725075529,0.0484848484848485,0.059432933,0.00769230769230769,0,0.0238101931666667,0,0,0,0,0,0.0220239104498988,0.0153223422035962,0.0168551611971639,0.0128566967346058,0.0056900058488872
"Globigerinella_calida",0.00314465408805031,0,0.00181818175,0.00564971751412429,0,0,0.021505376344086,0.0575079872204473,0.00243765774193548,0.030188679245283,0.0173410404624277,0.0148436946,0.0292553191489362,0.0409356725146199,0.019055199,0.05,0,0.047283702,0,0.0154639175257732,0.00633107175,0.0362537764350453,0,0.02780807,0.0115384615384615,0,0.0108475683333333,0,0,0,0.0036363635,0,0.00549759563326861,0.00792074959082439,0.00660760405443444,0.0073250520671108,0.00837892684545768
"Globigerinoides_ruber",0,0,0,0.0169491525423729,0,0,0.261648745519713,0.073482428115016,0.220411650935484,0.358490566037736,0.280346820809249,0.418540994,0.521276595744681,0.0818713450292398,0.469529666454545,0.436666666666667,0.114068441064639,0.382293763,0.173770491803279,0.0567010309278351,0.123399,0.347432024169184,0.0666666666666667,0.285714286,0.261538461538462,0,0.309713593333333,0,0,0,0,0,0.0568054792290361,0.0914293384096624,0.0648059988700806,0.106042307094241,0.117983464614868
"Globigerinoides_conglobatus",0,0,0,0,0,0,0.003584229390681,0.0287539936102236,0.0167079747096774,0.0113207547169811,0.202312138728324,0.0062960898,0.0319148936170213,0.0526315789473684,0.0289760517272727,0.0266666666666667,0.0684410646387833,0.050301811,0.019672131147541,0.0412371134020619,0.0220596295,0.00604229607250755,0.0848484848484849,0.014176663,0.00769230769230769,0,0.0119726261666667,0,0,0,0,0,0.0107314593939207,0.00100953248682308,0.0153601816681366,0.00843988324241268,0.010592863894806
"Globigerinoides_sacculifer",0,0,0,0,0,0,0.0609318996415771,0.108626198083067,0.0537975789354839,0.113207547169811,0.0549132947976879,0.0820687382,0.138297872340426,0.0526315789473684,0.107434258818182,0.106666666666667,0.11787072243346,0.113682093,0.0426229508196721,0.108247422680412,0.0735341845,0.0845921450151057,0.139393939393939,0.106870229,0.176923076923077,0,0.132634686333333,0,0,0,0,0,0.0146540370580898,0.0273474472970476,0.0261597045559265,0.0600221782186656,0.0347987111233163
"Orbulina_universa",0,0,0.0034813925,0.00564971751412429,0,0,0.003584229390681,0,0.00479782958064516,0.0226415094339623,0.0144508670520231,0.0143273694,0.00797872340425532,0,0.0128630317272727,0.0133333333333333,0,0.024144869,0,0.0103092783505155,0.00166944025,0,0,0.001090513,0.00384615384615385,0,0.01445877,0,0,0,0.00429748420292993,0,0.00529506923087225,0.0137840515449851,0.0125726334230019,0.00200911819034228,0.00790830475439178
"Pulleniatina_obliquiloculata",0,0,0,0,0,0,0.00716845878136201,0.0415335463258786,0.0103572129032258,0.0113207547169811,0.0115606936416185,0,0.0186170212765957,0.0584795321637427,0.014132977,0,0.0380228136882129,0,0.0524590163934426,0.0721649484536082,0.0711237535,0.0664652567975831,0.109090909090909,0.122137405,0.0192307692307692,0,0.00553499016666667,0,0,0,0,0,0.00396375002708299,0,0.0152626038227602,0.0274259816866514,0.00179261410249149
"Globoquadrina_conglomerata",0,0,0,0,0,0,0.00716845878136201,0,0,0,0,0,0.00265957446808511,0,0.0015411387,0,0,0,0,0.0670103092783505,0.0149289555,0.00302114803625378,0.0181818181818182,0.0087241,0,0,0,0,0,0,0,0,0,0,0.00309816368245521,0.0225271008961019,0
"Globigerinita_glutinata",0.0157232704402516,0,0.03994935475,0.0282485875706215,0,0.0227936335,0.186379928315412,0.0862619808306709,0.149376274354839,0.0679245283018868,0.0433526011560694,0.1005204644,0.0638297872340425,0.0935672514619883,0.104686089,0.21,0.133079847908745,0.193158954,0.252459016393443,0.0927835051546392,0.03770374625,0.196374622356495,0.133333333333333,0.171755725,0.00769230769230769,0,0.0669294061666667,0,0,0,0.0392559803864519,0.00292493942220356,0.0396135414966222,0.0284858360301043,0.0441972646495645,0.0441895651323868,0.0310977717890527
"Candeina_nitida",0,0,0,0,0,0,0,0,3.80401612903226e-05,0,0.023121387283237,0.0010904692,0.00265957446808511,0.0175438596491228,0.0021213819,0,0.0190114068441065,0,0,0.00515463917525773,0,0,0,0.002181025,0,0,0,0,0,0,0,0,0.000211798654388564,0.00150220247456966,0.00151576846007975,0,0
"Beella_digitata",0,0,0,0,0,0,0,0.00319488817891374,0.00111861783870968,0,0.0115606936416185,0.01442979,0.00531914893617021,0.0175438596491228,0.0116408126363636,0.00333333333333333,0.00380228136882129,0.001006036,0,0.0103092783505155,0.005039459,0,0,0.001090513,0,0,0.0014981705,0,0,0,0,0,0.00296396225808444,0.00576529490427415,0.00943772237034513,0.00595504427360374,0.00197276930490757
"Turborotalita_quinqueloba",0,0,0.02215078875,0.0112994350282486,0,0,0,0,7.60803548387097e-05,0,0,4e-04,0,0,0.00112128181818182,0,0,0.043259557,0,0,0,0,0,0,0,0,0,0,0,0.003,0.0234375964418922,0,0.00042359748838243,0.000894427190999916,0.00203845313507664,0,0
"Turborotalita_humilis",0,0,0,0,0,0,0,0,0.00112311016129032,0,0.0289017341040462,0,0,0.0175438596491228,0,0,0,0.002012072,0.00327868852459016,0,0,0,0.0121212121212121,0,0.0115384615384615,0.153846153846154,0.0056342295,0,0,0,0,0,0.0028527036032708,0,0,0,0.0054076797101312
"Sphaeroidinella_dehiscens",0,0,0,0,0,0,0,0.0383386581469649,0.000337003096774194,0,0.0173410404624277,0.002383432,0.00265957446808511,0.0526315789473684,0.0019346535,0,0.00380228136882129,0,0.00327868852459016,0.0515463917525773,0.00505847525,0,0.00606060606060606,0.002181025,0.00769230769230769,0,0.0038765205,0,0,0,0,0,0.000940893431481248,0.00326378009264105,0.00234442272071036,0.00371434945975213,0.00374171394198166
"Hastigerina_pelagica",0,0,0,0,0,0,0,0,0,0,0.0260115606936416,NA,0,0.0292397660818713,0,0,0,0,0,0,NA,0,0,NA,0,0,0,0,0,0,0,NA,0,NA,0,NA,0
"Berggrenia_pumilio",0,0,0,0,0,0,0,0,0,0,0.00867052023121387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Globorotalia_theyeri",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00327868852459016,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0
"unidentified",0,0,0.0029807795,0,0,0.0013812155,0,0.0351437699680511,0.00816595729032258,0,0,0.016448678,0,0.0701754385964912,0.0097996212,0,0.0950570342205323,0,0,0.00515463917525773,0.003614495,0,0.0909090909090909,0.007088332,0,0,0.016458569,0,0,0,0.00214912204462388,0.00195333369265994,0.0120023022069452,0.00915463250322633,0.00840277866291092,0.00499145256323187,0.0167535608867981
"total_counts",318,12,330.25,177,87,374,279,313,339.142857142857,265,346,428,376,171,331.2,300,263,500,305,194,276,331,165,1834,260,65,456,226,78,534,NA,NA,NA,NA,NA,NA,NA
